"","Nodes","c.values","null.c.values.mean","null.c.values.sd","z.values","null.z.values.mean","null.z.values.sd","Zscore.c.values","Zscore.z.values"
"*","*",0.604774034091317,0.458311117119513,0.182590007588618,-0.587357575407894,-0.107253755126031,0.595942781490992,0.80214092165323,-0.80562066559593
"A","A",0,0,0,-0.641107233587579,-0.726217881224772,0.276933471563599,NA,0.307332469262919
"B","B",0.498866213151927,0.461352646408533,0.20099903724842,-0.276944965291707,0.535940157824023,0.803189978422445,0.186635554363529,-1.01207079888164
"D","D",0.622206860598396,0.565785196499908,0.144397464236691,-0.228072324357876,1.05913247848235,0.764236868875893,0.390738607473076,-1.68430084344603
"E","E",0,0.201471594332645,0.195186739262635,-0.674836363234602,-0.553108472181915,0.409160705619579,-1.03219919085565,-0.297506308354705
"F","F",0.398372835118821,0.400799649058147,0.204357350971953,0.105182828220208,-0.120196002352869,0.722491293617157,-0.0118753444776194,0.311946777164216
"G","G",0,0,0,-0.57018081089469,-0.747962632690584,0.23812583806085,NA,0.746587700199352
"H","H",0,0.201229734504416,0.204863864978087,-0.47489424710191,-0.696110057557801,0.350523987820206,-0.982260754115615,0.631100347315912
"I","I",0.309560867161954,0.578723359371285,0.128482580186381,2.19009393809007,1.00490092018381,0.707233187988795,-2.09493373980252,1.67581646058872
"J","J",0.29959933262157,0.337486744489563,0.213242470787071,-0.427404822391719,-0.506410613999726,0.416215313538503,-0.177672917257766,0.189819521382646
"K","K",0.433711990756317,0.600316276837974,0.132024295514074,2.31510945462181,1.26283848102049,0.724233250084337,-1.26192141706143,1.45294485371776
"L","L",0.437753477582534,0.363782779888286,0.196914919093054,-0.266602020043299,-0.250729320352052,0.63966467220906,0.375648011003637,-0.0248140946043357
"M","M",0,0.231135821358259,0.199042371487746,-0.266602020043299,-0.572719524911823,0.448206162868234,-1.1612392860406,0.682983703101194
"N","N",0.478203115565753,0.335364623644314,0.19737791734914,-0.427404822391719,-0.381622600803886,0.617312760790508,0.723680206174093,-0.0741637375666848
"O","O",0,0,0,-0.641107233587579,-0.74072408472584,0.273033551186294,NA,0.36485205098582
"P","P",0,0,0,-0.57018081089469,-0.811091563977808,0.299312053202172,NA,0.804881562589108
"Q","Q",0.578512396694215,0.307986069954128,0.201664793867417,-1.15470053837925,-0.428985962682188,0.500362506062334,1.34146531753054,-1.4503776100415
"R","R",0.102264426588751,0.357250503425726,0.199838227875199,0.577350269189626,-0.268743617205554,0.580387976239899,-1.27596245997646,1.45780739958929
"S","S",0.658375054754142,0.557185805715553,0.159190155358563,0.451149534746815,0.832626851426038,0.801007641776904,0.635650168257381,-0.47624678814921
"T","T",0,0.342593215372649,0.196063029461253,-0.499878787581186,-0.204967676342954,0.575330100388775,-1.74736265329591,-0.512594614881002
"V","V",0.416753949405504,0.540731074784787,0.146047341376917,-0.374690247159368,0.430150521319777,0.667096601196076,-0.848883137552809,-1.20648308960966
"W","W",0.22222697682721,0.464937732348929,0.182828423927572,0.577350269189626,0.103860472157677,0.672324469642099,-1.32753294213087,0.70425786716346
"X","X",0.519975298324688,0.603926234948147,0.125047805119506,2.02006915859833,1.48204508492858,0.657463970416959,-0.671350740968452,0.818332407369096
"Y","Y",0.191949236565536,0.501185609587042,0.164451609316961,NA,0.201163631227579,0.792195705641872,-1.88040952779907,NA
"Z","Z",0.626524422403989,0.520197788650636,0.15865975185638,-0.154340630308121,0.170419780168607,0.764174376983131,0.670155048834318,-0.42498207249351
"aSG_Tory","aSG_Tory",0.497176651408333,0.402687806008732,0.189967162812121,-0.529747730683711,-0.243828385747461,0.593901550969326,0.497395676183525,-0.481425489577509
"rG_Eulo","rG_Eulo",0.264783064391143,0.373591941681375,0.189339359725138,-0.577350269189626,-0.445338260752268,0.515003243975385,-0.574676482735487,-0.256332382332851
"rG_Lestodip","rG_Lestodip",0.489752267306461,0.37582459522599,0.204009270383113,1.15470053837925,-0.325248884942257,0.623134015880465,0.558443603403533,2.37500984636571
"rG_Mesopol","rG_Mesopol",0,0,0,-0.707106781186548,-0.742103721141638,0.206217259755228,NA,0.169709072832363
"rG_Platy","rG_Platy",0.551825323930114,0.399796395634203,0.190391708928165,-0.577350269189626,-0.317653559011,0.595841766490137,0.798506033439053,-0.435848449678836
"rG_Tory","rG_Tory",0.409737756960062,0.57134517082815,0.122402692720244,1.39897348480493,0.905876187822884,0.635710698184654,-1.32029296314132,0.775663046713134
"rsLG_Eury","rsLG_Eury",0.334699150217826,0.448665913825927,0.18700347243023,-0.197667063687952,-0.171119982147882,0.612712991606285,-0.609436617015878,-0.0433271073141023
"rsLG_Lathro","rsLG_Lathro",0,0.19677892951142,0.214172656558853,-0.73532147691918,-0.644672716497522,0.385072411663406,-0.918786425275288,-0.235407049884673
"SG_Platy","SG_Platy",0,0.410123842280586,0.204734770827352,NA,-0.300180569686392,0.558844543589367,-2.00319584515731,NA
"vLG_Eulo","vLG_Eulo",0.460933004379376,0.49582194463655,0.156799637815711,-0.179950946178227,0.303303885510461,0.734441664515104,-0.222506510494492,-0.657989402068774
"vLG_Mesopol","vLG_Mesopol",0.438984046038198,0.589553333165186,0.0976161150855845,1.46273627129084,1.04774787306915,0.480761906237348,-1.54246342414853,0.863189019008534
"vLG_Mymarid","vLG_Mymarid",0,0,0,-0.97521803090136,-0.718168624603378,0.181722576656096,NA,-1.41451552706321
"vLG_Platy","vLG_Platy",0.472499874657973,0.624182350312389,0.095558325568377,0.707106781186548,1.1024311489113,0.350715924494253,-1.58732873093177,-1.12719252282264
"vLG_Tory","vLG_Tory",0.68988544635311,0.550668999652044,0.120557183439347,-0.24380450772534,0.642975879912629,0.690793271598962,1.15477520898708,-1.28371312243004
