"","unique.sim","sim.number","reps.sampled","link.density.plant_gall","generality.HL.plant_gall","vulnerability.LL.plant_gall","link.density.gall_ptoid","generality.HL.gall_ptoid","vulnerability.LL.gall_ptoid","total_complexity","total_complexity.check"
"1","1_1",1,1,1,NA,NA,1.44494078742115,1,1.88988157484231,1.22247039371058,NA
"2","1_2",1,2,1.37738267530166,1,1.75476535060332,1.66666666666667,1.66666666666667,1.66666666666667,1.52202467098416,1.52202467098416
"3","1_3",1,3,1.25349653288627,1,1.50699306577254,NA,NA,NA,NA,NA
"4","1_4",1,4,1.98560795873215,1,2.97121591746429,2.03104722774895,1.75,2.3120944554979,2.00832759324055,2.00832759324055
"5","1_5",1,5,1.44494078742115,1,1.88988157484231,2.23205080756888,1,3.46410161513775,1.83849579749502,1.83849579749502
"6","1_6",1,6,2.03995055215461,1,3.07990110430922,1.83194610195931,1.44494078742115,2.21895141649746,1.93594832705696,1.93594832705696
"7","1_7",1,7,1.89580909388786,1,2.79161818777572,1.83194610195931,1.44494078742115,2.21895141649746,1.86387759792358,1.86387759792358
"8","1_8",1,8,1.8213373905294,1,2.6426747810588,2.02765777492045,1.77830392082822,2.27701162901267,1.92449758272492,1.92449758272492
"9","1_9",1,9,1.85242422874162,1,2.70484845748323,2.35432038892765,1.5748273545264,3.1338134233289,2.10337230883463,2.10337230883463
"10","1_10",1,10,1.71856445981064,1,2.43712891962129,1.31848775453179,1,1.63697550906358,1.51852610717122,1.51852610717122
"11","1_11",1,11,1.18478183583604,1,1.36956367167207,2.07150494679666,1.25663933778412,2.88637055580919,1.62814339131635,1.62814339131635
"12","1_12",1,12,1.05839195555022,1,1.11678391110044,2.48690050059625,1.59702506081908,3.37677594037343,1.77264622807324,1.77264622807324
"13","1_13",1,13,2.12785742458213,1,3.25571484916426,1.95032153437649,1.36091496370356,2.53972810504942,2.03908947947931,2.03908947947931
"14","1_14",1,14,1.90414347323242,1,2.80828694646484,2.16477837568517,1.2966271916141,3.03292955975625,2.0344609244588,2.0344609244588
"15","1_15",1,15,1.25047363424333,1,1.50094726848667,2.27590843752935,1.8146819805334,2.73713489452529,1.76319103588634,1.76319103588634
"16","1_16",1,16,2.06042033726723,1,3.12084067453446,1.93779711613346,1.78685500969188,2.08873922257505,1.99910872670035,1.99910872670035
"17","1_17",1,17,1.18339490089809,1,1.36678980179617,2.45603529937339,1.54754059465137,3.36453000409541,1.81971510013574,1.81971510013574
"18","1_18",1,18,1.86047027320451,1,2.72094054640901,1.43442888463624,1,1.86885776927247,1.64744957892037,1.64744957892037
"19","1_19",1,19,1.70481223262299,1,2.40962446524598,2.28489633382363,1.36505824407228,3.20473442357498,1.99485428322331,1.99485428322331
"20","1_20",1,20,1.9138467828985,1,2.827693565797,2.34021873811077,1.86042881101642,2.82000866520512,2.12703276050464,2.12703276050464
"21","1_21",1,21,1.88123659222946,1,2.76247318445893,2.17322525111481,1.61393411839941,2.73251638383021,2.02723092167214,2.02723092167214
"22","1_22",1,22,1.89094402763211,1,2.78188805526422,2.41017781405952,1.85258750846622,2.96776811965282,2.15056092084581,2.15056092084581
"23","1_23",1,23,2.03600233373637,1,3.07200466747275,2.3772563625427,2.06842554290342,2.68608718218198,2.20662934813954,2.20662934813954
