"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"1","1_1_C","1",1,"C",1,1,1,1,1,1,1
"2","1_1_A","1",1,"A",1,1,1,1,1,1,1
"3","1_1_B","1",1,"B",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"4","1_1_D","1",1,"D",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"5","1_1_E","1",1,"E",1,1,1,NA,NA,NA,1
"6","1_1_F","1",1,"F",1,1,1,NA,NA,NA,1
"7","1_1_G","1",1,"G",1,1,1,1,1,1,1
"8","1_1_H","1",1,"H",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"9","1_1_I","1",1,"I",1.82467556428105,2.6493511285621,1,1.66666666666667,1.66666666666667,1.66666666666667,1.74567111547386
"10","1_1_J","1",1,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"11","1_1_K","1",1,"K",1.89205576069293,2.78411152138587,1,2.00236451349916,2.55978823957716,1.44494078742115,1.94721013709605
"12","1_1_L","1",1,"L",1,1,1,1,1,1,1
"13","1_1_M","1",1,"M",NA,NA,NA,NA,NA,NA,NA
"14","1_1_N","1",1,"N",1,1,1,NA,NA,NA,1
"15","1_1_O","1",1,"O",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"16","1_1_P","1",1,"P",NA,NA,NA,NA,NA,NA,NA
"17","1_1_Q","1",1,"Q",1.5,2,1,1,1,1,1.25
"18","1_1_R","1",1,"R",1,1,1,NA,NA,NA,1
"19","1_1_S","1",1,"S",1,1,1,1,1,1,1
"20","1_1_T","1",1,"T",1,1,1,1,1,1,1
"21","1_1_V","1",1,"V",1,1,1,1.60867372613661,2.21734745227321,1,1.3043368630683
"22","1_1_W","1",1,"W",NA,NA,NA,NA,NA,NA,NA
"23","1_1_X","1",1,"X",1.49587060740256,1.99174121480513,1,1.27129581704766,1.22247039371058,1.32012124038474,1.38358321222511
"24","1_1_Y","1",1,"Y",1.8747296369986,2.74945927399721,1,NA,NA,NA,1.8747296369986
