"","unique.sim","sim.number","genotype.richness","reps.sampled","link.density.plant_gall","generality.HL.plant_gall","vulnerability.LL.plant_gall","link.density.gall_ptoid","generality.HL.gall_ptoid","vulnerability.LL.gall_ptoid","total.gall.abund","total.gall_ptoid.abund","total_complexity","total_complexity.check","plants_sampled"
"1","1_1_1",1,1,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1
"2","1_2_1",1,2,1,1,NA,NA,NA,NA,NA,3.5,0,NA,NA,2
"3","1_3_1",1,3,1,1.90004703642692,1,2.80009407285383,1,1,1,3.33333333333333,0.333333333333333,1.45002351821346,1.45002351821346,3
"4","1_4_1",1,4,1,1.5651718776003,1,2.13034375520061,1.61727785704881,1.37738267530166,1.85717303879595,7.25,2,1.59122486732456,1.59122486732456,4
"5","1_5_1",1,5,1,1.67649712641455,1,2.35299425282909,1.50190614024133,1.4,1.60381228048266,4,1,1.58920163332794,1.58920163332794,5
"6","1_6_1",1,6,1,1.79145340582158,1,2.58290681164317,1.93232445116527,1.24976341864081,2.61488548368973,6.66666666666667,2.16666666666667,1.86188892849343,1.86188892849343,6
"7","1_7_1",1,7,1,1.71747050744168,1,2.43494101488337,1,1,1,4.66666666666667,0.5,1.35873525372084,1.35873525372084,7
"8","1_8_1",1,8,1,1.67121061121913,1,2.34242122243826,1.91421356237309,1,2.82842712474619,4.875,1,1.79271208679611,1.79271208679611,8
"9","1_9_1",1,9,1,1.59450472852336,1,2.18900945704671,1.90604722774895,1.5,2.3120944554979,3.77777777777778,0.888888888888889,1.75027597813615,1.75027597813615,9
"10","1_10_1",1,10,1,1.63703467387825,1,2.27406934775651,1.6442369227122,1.35294117647059,1.93553266895381,5.1,1.7,1.64063579829523,1.64063579829523,10
"11","1_11_1",1,11,1,1,NA,NA,1.50190614024133,1.4,1.60381228048266,3.875,0.625,1.25095307012066,NA,11
"12","1_12_1",1,12,1,1.66967961684006,1,2.33935923368012,1.83194610195931,1.44494078742115,2.21895141649746,5.81818181818182,0.545454545454545,1.75081285939968,1.75081285939968,12
"13","1_13_1",1,13,1,1.52883820602,1,2.05767641204,1.9404571691793,1.38137781778956,2.49953652056903,6.3,1.4,1.73464768759965,1.73464768759965,13
"14","1_14_1",1,14,1,1.83184465812752,1,2.66368931625505,1.91636008947006,2.15337824021527,1.67934193872484,5.44444444444444,1.44444444444444,1.87410237379879,1.87410237379879,14
"15","1_15_1",1,15,1,1.59015612469875,1,2.1803122493975,1.81696026403986,1.65902529658398,1.97489523149574,3.75,1.41666666666667,1.7035581943693,1.7035581943693,15
"16","1_16_1",1,16,1,1.75690553816896,1,2.51381107633791,1.80595293218148,1.60947570824873,2.00243015611423,2.76923076923077,0.923076923076923,1.78142923517522,1.78142923517522,16
"17","1_17_1",1,17,1,1.61959603566128,1,2.23919207132257,1.80389436700707,1.18181818181818,2.42597055219596,3.75,0.916666666666667,1.71174520133418,1.71174520133418,17
"18","1_18_1",1,18,1,1.59242840570425,1,2.18485681140851,1.8169352563574,1.38405268168312,2.24981783103168,7.15384615384615,1.92307692307692,1.70468183103083,1.70468183103083,18
"19","1_19_1",1,19,1,1.56453354620116,1,2.12906709240233,1.68681256238767,1.5497837095207,1.82384141525465,6.4,1.6,1.62567305429442,1.62567305429442,19
"20","1_20_1",1,20,1,1.6807809519266,1,2.36156190385319,1.97441845879445,1.51734264142696,2.43149427616194,4.70588235294118,1.58823529411765,1.82759970536052,1.82759970536052,20
"21","1_21_1",1,21,1,1.72908635928953,1,2.45817271857905,1.49094919001288,1.25158845020111,1.73030992982465,4,1,1.6100177746512,1.6100177746512,21
"22","1_22_1",1,22,1,1.68726602178893,1,2.37453204357785,1.97468136061618,1.83441884359377,2.11494387763859,5.46666666666667,0.933333333333333,1.83097369120255,1.83097369120255,22
"23","1_23_1",1,23,1,1.78236074333548,1,2.56472148667097,1.86948779296127,1.54836016726633,2.19061541865621,5.875,1.75,1.82592426814838,1.82592426814838,23
"24","1_24_1",1,24,1,1.73794314568832,1,2.47588629137664,1.8603338033414,1.38647838152269,2.33418922516011,4.4375,1.4375,1.79913847451486,1.79913847451486,24
"25","1_25_1",1,25,1,1.54451196960136,1,2.08902393920272,1.97271160683124,1.21232516968786,2.73309804397462,6.44444444444444,1.5,1.7586117882163,1.7586117882163,25
"26","2_1_1",2,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1
"27","2_2_1",2,2,1,1,NA,NA,1.53392894490539,1.53392894490539,1.53392894490539,7.5,2.5,1.26696447245269,NA,2
"28","2_3_1",2,3,1,1,NA,NA,1,1,1,7.5,4,1,NA,3
"29","2_4_1",2,4,1,1,NA,NA,1.34680946627549,1.25,1.44361893255097,8.5,2,1.17340473313774,NA,4
"30","2_5_1",2,5,1,1.94016579754438,1,2.88033159508876,1,1,1,3.25,0.5,1.47008289877219,1.47008289877219,5
"31","2_6_1",2,6,1,1.58818796253439,1,2.17637592506878,1.63501519276097,1.30769230769231,1.96233807782963,7.83333333333333,2.16666666666667,1.61160157764768,1.61160157764768,6
"32","2_7_1",2,7,1,1.57868978052992,1,2.15737956105985,1.58370559056587,1.66741118113173,1.5,6.8,0.8,1.5811976855479,1.5811976855479,7
