"","Genotype","vLG_glm.nb.ALL","vLG_glm.nb.noOutliers","vLG_zeroinfl.noOutliers","vLG_density_mean","vLG_density_mean.noOutliers","rG_glm.nb.ALL","rG_glm.nb.noOutliers","rG_zeroinfl.noOutliers","rG_density_mean","rG_density_mean.noOutliers","rsLG_glm.nb.ALL","rsLG_density_mean","aSG_glm.nb.ALL","aSG_density_mean"
"1","*",1.34253386531481,1.33538739880176,1.68038804323232,1.38052845335113,1.38052845335113,4.92532766234253,4.91022651309424,7.06709181550952,5.04309230342244,5.04309230342244,0.630365746694899,0.493627638660782,0.182731253182053,0.311456827039728
"2","A",0.119926936227789,0.119673582382922,0.163380338597573,0.124888421988937,0.124888421988937,1.09762125748051,1.09687558234947,1.21119281569952,1.10411350034815,1.10411350034815,0.228656454447367,0.207480729574091,2.46881628409739e-09,0
"3","B",3.91815066431528,3.8309290849566,4.50640133287475,4.3633611732678,4.3633611732678,3.16552311906883,3.09900208197534,9.44420520173485,3.72517601490703,3.72517601490703,0.36703651858323,0.381932964506751,0.111828415465139,0.0643923294084386
"4","D",4.55416233248316,4.56431192930321,8.64048378152718,4.50784656222373,4.50784656222373,6.59996309280303,6.60188289922324,6.35404309031038,6.58342691469088,6.58342691469088,1.63150420739549,2.18622256021824,0.715420666771179,0.564564220390923
"5","E",0.622237308577579,0.623730115074076,0.798610084448434,0.605013713289478,0.605013713289478,2.2256191602801e-15,4.4702755942268e-14,3.47630474033792e-08,0,0,6.04986012872338e-15,0,0.251548382901639,0.301244859151816
"6","F",1.80372484169095,1.80254661367663,3.22268475993207,1.81285031633204,1.81285031633204,2.87116164829588,2.87623832116957,4.42676631786277,2.82350249058676,2.82350249058676,0.696139609057771,0.618275845622073,0.148941840458112,0.112598903937947
"7","G",3.23866313279684,0.170241739325897,0.237417010847198,3.26000700800664,0.119051973585981,1.13289939993911,1.13906036061113,1.63323877846705,1.04754111624756,1.04754111624756,0.914089166845901,0.840595196205772,0.775532758764974,1.46820428654029
"8","H",1.54806068347609,1.55581359351802,1.93009620977641,1.50505327535276,1.50505327535276,1.19828857612957,1.20692820417361,1.5114459847414,1.10703230377006,1.10703230377006,1.41224484171351,1.39289236663855,0.16140432980055,0.127923129824057
"9","I",5.07186632984065,5.06053979353081,5.60288551257361,5.11161718683507,5.11161718683507,3.1442635297179,3.13533094886757,4.28605834517962,3.21692319520936,3.21692319520936,2.7720874998451,2.8599305942568,1.34318066517885,1.23372559833964
"10","J",0.512922830222473,0.516485573092381,0.710027811910497,0.486665101880734,0.486665101880734,0.131164091974064,0.131449013394104,0.171801344759132,0.124011065106374,0.124011065106374,0.897146205686444,0.86807745574462,0.134381543484452,0.119321485833993
"11","K",6.41756385435844,6.41146240348282,7.14090897529823,6.43601753601369,6.43601753601369,5.1988126743439,5.19374138277508,4.9116705306201,5.23805100383728,5.23805100383728,1.27431071667949,1.24362354620644,0.603280765297341,0.625458102201178
"12","L",1.83088822864481,1.82360787675449,2.30084280534319,1.86364817419299,1.86364817419299,0.126121718519044,0.126861294010607,0.171507394197217,0.106109550790065,0.106109550790065,0.449843989696482,0.527081511587473,0.134586265809288,0.149297959095857
"13","M",1.60621449175032,1.63416760083077,3.14628937544068,1.43878452494469,1.43878452494469,0.435933696725552,0.439723779568272,0.72154222887346,0.371568588992884,0.371568588992884,1.08305549548361,1.0116201312491,2.88554617084615e-09,0
"14","N",0.399655935509835,0.392677541613265,0.590200834633986,0.466774022426651,0.466774022426651,1.79718094514729,1.78873036845364,8.29245460306254,1.86709608970661,1.86709608970661,6.97377327355007e-15,0,0.120946940849667,0.125207155123849
"15","O",1.70122151510456,1.69738635023074,2.69735263484967,1.72381542645009,1.72381542645009,0.938732539461616,0.934502903030687,1.17001664629925,0.981565709224365,0.981565709224365,1.07398019596893,1.04791809263412,0.139967353396879,0.133474059856661
"16","P",0.468223797988678,0.468468822485524,0.765186742077961,0.436855495997279,0.436855495997279,0.643389787487062,0.647041676456132,0.996227745604803,0.588342956070365,0.588342956070365,7.04032096631967e-15,0,3.11473228574069e-09,0
"17","Q",1.57074774172273e-13,1.16063431610794e-12,9.12592128019559e-08,0,0,0.782156721624143,0.787348456528153,0.961585966326325,0.711334457413216,0.711334457413216,0.107466897649008,0.0850715634287189,0.656755241777951,0.62010350589157
"18","R",0.498578567803798,0.494058160213245,0.724249498056638,0.515589716096276,0.515589716096276,2.11049069241326,2.12332029703486,3.27244506501424,1.97697343063628,1.97697343063628,9.5113290953211e-15,0,0.117889697748005,0.0834212874104132
"19","S",5.70525432309669,3.16091221828935,3.51842744536127,8.26724313688293,3.18367323157003,18.7786448282271,2.13430013409759,3.0698271212313,21.5253783355943,2.25088913829998,1.03109350828437,0.884955481106134,0.101751728320934,0.097518009978249
"20","T",3.89659082897306,3.8866932756755,8.56447054472499,3.93171521488079,3.93171521488079,2.11822218180577e-15,4.25456297825464e-14,3.30863891309268e-08,0,0,5.75792487036586e-15,0,2.5473830677206e-09,0
"21","U",1.99406983336079e-13,1.47342938687663e-12,1.15869115537005e-07,0,0,3.65226629751639e-15,7.3357729621466e-14,5.70469322795689e-08,0,0,0.195855279638597,0.111219142250763,4.39223109943518e-09,0
"22","V",3.71777911814251,3.70657033575069,4.79643184982107,3.76097996750677,3.76097996750677,2.14308000838958e-15,4.30449125827209e-14,3.34730495810584e-08,0,0,1.42368503305994,1.49303726737132,0.100793498326365,0.0769918059587804
"23","W",0.781581634127443,0.785657703708809,0.993533140124649,0.685007653116682,0.685007653116682,4.57626267225127,4.58989993271956,7.88565821687333,4.44322415566913,4.44322415566913,0.371200460137919,0.297196676784532,3.90426451748999e-09,0
"24","X",8.20873911413267,8.16339763393943,10.8837870202365,8.36090926114605,8.36090926114605,4.50647821013874,4.49852340419695,6.06544867428105,4.56917697037473,4.56917697037473,0.149452472610411,0.157734558956716,0.145847441794823,0.102839091387663
"25","Y",1.67139784925738,1.66813496946617,2.46943443678656,1.68408166956508,1.68408166956508,0.602384431515174,0.602443691391082,0.688332344418825,0.602877754681606,0.602877754681606,5.81944753680618e-15,0,0.101406907984002,0.0688607924123043
"26","Z",2.60560697037185,2.57384366696745,2.99560249264214,2.72542139956144,2.72542139956144,2.21394420396566,2.20755603064201,2.6574295989633,2.26487424075976,2.26487424075976,5.47455504298547e-15,0,2.42201646601724e-09,0
