"","Gender","Genotype","Row","Galls.found","shootEst.all","shootEst.no18","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"1","m","E",9,1,320.062206860588,299.683699161892,364,"1.1","13","","9.32","10.74",NA,NA,NA,"vLG","vLG.pupa","1"
"2","f","I",6,1,189.895310807941,195.788338113103,255,"7","24","","7.42","6.8",NA,"3",NA,"vLG","vLG.pupa","1"
"3","f","X",6,1,208.538239995587,211.325492357578,235,"5","42","","11.76","6.39",NA,"2",NA,"vLG","vLG.pupa","2"
"4","f","H",2,1,378.799571404938,343.821386659906,54,"26.1","79","","11.44","6.68",NA,NA,NA,"vLG","vLG.pupa","1"
"5","f","H",2,1,378.799571404938,343.821386659906,54,"26.2","80","","11.04","6.68",NA,NA,NA,"vLG","vLG.pupa","1"
"6","f","H",2,1,124.853132149946,139.086005844646,46,"4","88","","6.43","4.39",NA,NA,NA,"vLG","vLG.pupa","1"
"7","f","G",11,1,294.46373095663,279.989758500388,469,"3","105","","12.13","6.35",NA,NA,NA,"vLG","vLG.pupa","1"
"8","m","K",11,1,329.762020607988,307.069222821287,471,"1","110","","10.75","5.82",NA,NA,NA,"vLG","vLG.pupa","2"
"9","m","K",11,1,329.762020607988,307.069222821287,471,"2","111","","11.28","9.22",NA,NA,NA,"vLG","vLG.pupa","2"
"10","m","K",11,1,329.762020607988,307.069222821287,471,"4","113","","9.94","5.31",NA,NA,NA,"vLG","vLG.pupa","1"
"11","m","K",11,1,329.762020607988,307.069222821287,471,"5","114","","10.45","10.46",NA,"3",NA,"vLG","vLG.pupa","4"
"12","m","K",11,1,329.762020607988,307.069222821287,471,"7","116","","7.34","7.13",NA,"2",NA,"vLG","vLG.pupa","1"
"13","m","K",11,1,329.762020607988,307.069222821287,471,"9","118","","8.43","3.98",NA,"2",NA,"vLG","vLG.pupa","1"
"14","m","K",11,1,329.762020607988,307.069222821287,471,"11","120","","12.63","8.56",NA,"4",NA,"vLG","vLG.pupa","3"
"15","f","M",9,1,473.159016691825,412.194607206021,370,"1","122","","12.04","10.66",NA,"3",NA,"vLG","vLG.pupa","2"
"16","f","M",9,1,473.159016691825,412.194607206021,370,"2","123","","7.43","8.54",NA,NA,NA,"vLG","vLG.pupa","5"
"17","f","G",2,1,141.246786362241,153.806225370539,59,"15","129","","9.74","5.28",NA,"1",NA,"vLG","vLG.pupa","1"
"18","f","G",2,1,141.246786362241,153.806225370539,59,"1","131","","8.39","4.04",NA,NA,NA,"vLG","vLG.pupa","1"
"19","f","G",2,1,141.246786362241,153.806225370539,59,"7","132","","7.73","7.56",NA,NA,NA,"vLG","vLG.pupa","1"
"20","f","G",2,1,141.246786362241,153.806225370539,59,"6","133","","12.13","4.8",NA,NA,NA,"vLG","vLG.pupa","1"
"21","f","G",2,1,141.246786362241,153.806225370539,59,"2","135","","13.4","7.08",NA,"1",NA,"vLG","vLG.pupa","3"
"22","m","B",9,1,50.0542414965502,66.0067301328162,368,"1","158","","11.76","9.65",NA,"4",NA,"vLG","vLG.pupa","4"
"23","m","S",9,1,12.2310106205763,23.7493780406934,373,"1","159","","9.31","4.8",NA,"1",NA,"vLG","vLG.pupa","1"
"24","m","S",9,1,12.2310106205763,23.7493780406934,373,"9.2","182","","7.39","5.8",NA,NA,NA,"vLG","vLG.pupa","1"
"25","m","O",5,1,370.72387277127,337.832370852061,204,"4.1","189","","8.5","10.53",NA,"2",NA,"vLG","vLG.pupa","5"
"26","m","O",5,1,370.72387277127,337.832370852061,204,"9.1","191","","7.59","7.78",NA,NA,NA,"vLG","vLG.pupa","1"
"27","m","O",5,1,370.72387277127,337.832370852061,204,"9.2","192","","7.3","7.78",NA,NA,NA,"vLG","vLG.pupa","1"
"28","f","L",6,1,228.485976223304,227.668771075999,244,"6.1","213","","6.66","3.89",NA,NA,NA,"vLG","vLG.pupa","1"
"29","f","L",6,1,228.485976223304,227.668771075999,244,"6.2","214","","9.23","4.59",NA,NA,NA,"vLG","vLG.pupa","1"
"30","f","L",6,1,228.485976223304,227.668771075999,244,"6.3","215","","5.64","4.32",NA,NA,NA,"vLG","vLG.pupa","1"
"31","f","G",2,1,141.246786362241,153.806225370539,59,"10","219","","14.38","9.28",NA,"4",NA,"vLG","vLG.pupa","5"
"32","f","G",2,1,141.246786362241,153.806225370539,59,"8.1","220","","10.84","8.84",NA,"2",NA,"vLG","vLG.pupa","1"
"33","f","G",2,1,141.246786362241,153.806225370539,59,"8.2","221","","8.28","8.84",NA,NA,NA,"vLG","vLG.pupa","1"
"34","f","G",2,1,141.246786362241,153.806225370539,59,"12","222","","10.8","5.96",NA,NA,NA,"vLG","vLG.pupa","1"
"35","f","G",2,1,141.246786362241,153.806225370539,59,"14.1","224","","7.68","3.82",NA,NA,NA,"vLG","vLG.pupa","1"
"36","f","I",14,1,212.066411004529,214.23642961132,626,"3","230","","6.25",NA,NA,"8",NA,"vLG","vLG.pupa","1"
"37","f","I",6,1,189.895310807941,195.788338113103,255,"8","257","","12.18","7.62","8.64","2",NA,"vLG","vLG.pupa","2"
"38","m","K",9,1,153.482478235971,164.586842600687,376,"10.1","269","","4.91","3","2.74","1",NA,"vLG","vLG.pupa","1"
"39","m","J",2,1,482.807759415814,419.036015605462,75,"1","296","","4.42","4.95","4.22","2",NA,"vLG","vLG.pupa","2"
