"","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"1",364,"1.1",13,"",9.32,10.74,NA,NA,NA,"vLG","vLG.pupa",1
"698",364,"1.1",13,"",9.32,10.74,NA,NA,NA,"vLG","Mesopol",1
"9",471,"2",111,"",11.28,9.22,NA,NA,NA,"vLG","vLG.pupa",2
"728",471,"2",111,"",11.28,9.22,NA,NA,NA,"vLG","Ptero.2",1
"12",471,"7",116,"",7.34,7.13,NA,2,NA,"vLG","vLG.pupa",1
"701",471,"7",116,"",7.34,7.13,NA,2,NA,"vLG","Mesopol",1
"767",471,"7",116,"",7.34,7.13,NA,2,NA,"vLG","Eulo.mal",1
"13",471,"9",118,"",8.43,3.98,NA,2,NA,"vLG","vLG.pupa",1
"729",471,"9",118,"",8.43,3.98,NA,2,NA,"vLG","Ptero.2",1
"768",471,"9",118,"",8.43,3.98,NA,2,NA,"vLG","Eulo.mal",1
"14",471,"11",120,"",12.63,8.56,NA,4,NA,"vLG","vLG.pupa",3
"774",471,"11",120,"",12.63,8.56,NA,4,NA,"vLG","Mymarid",1
"36",626,"3",230,"",6.25,NA,NA,8,NA,"vLG","vLG.pupa",1
"571",626,"3",230,"",6.25,NA,NA,8,NA,"vLG","Platy",1
"703",626,"3",230,"",6.25,NA,NA,8,NA,"vLG","Mesopol",1
"743",376,"10",268,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.fem",2
"769",376,"10",268,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.mal",1
"195",382,"16",288,"",8.03,6.51,4.84,NA,NA,"rG","rG.larv",4
"744",382,"16",288,"",8.03,6.51,4.84,NA,NA,"rG","Eulo.fem",1
"40",325,"4",311,"",8.05,4.98,5,1,NA,"vLG","vLG.pupa",1
"844",325,"4",311,"",8.05,4.98,5,1,NA,"vLG","unsure",1
"48",257,"5",348,"",12.84,11.1,7.66,4,NA,"vLG","vLG.pupa",1
"638",257,"5",348,"",12.84,11.1,7.66,4,NA,"vLG","Tory.mal",1
"51",462,"1",367,"",10.75,14.29,5.06,5,NA,"vLG","vLG.pupa",5
"704",462,"1",367,"",10.75,14.29,5.06,5,NA,"vLG","Mesopol",1
"732",387,"4",371,"",5.24,2.74,2.94,1,NA,"vLG","Ptero.2",1
"770",387,"4",371,"",5.24,2.74,2.94,1,NA,"vLG","Eulo.mal",1
"52",374,"23",378,"",10.15,12.01,5.04,3,NA,"vLG","vLG.pupa",3
"675",374,"23",378,"",10.15,12.01,5.04,3,NA,"vLG","Tory.fem",1
"208",460,"7",392,"",4.94,4.02,3.32,NA,NA,"rG","rG.larv",1
"745",460,"7",392,"",4.94,4.02,3.32,NA,NA,"rG","Eulo.fem",1
"58",462,"7",463,"",6.23,3.33,3.53,1,NA,"vLG","vLG.pupa",1
"705",462,"7",463,"",6.23,3.33,3.53,1,NA,"vLG","Mesopol",1
"60",455,"19",486,"",10.74,6.48,5.51,2,NA,"vLG","vLG.pupa",1
"646",455,"19",486,"",10.74,6.48,5.51,2,NA,"vLG","Tory.mal",1
"61",650,"3",495,"",11.38,9.85,6.1,5,NA,"vLG","vLG.pupa",3
"706",650,"3",495,"",11.38,9.85,6.1,5,NA,"vLG","Mesopol",1
"229",509,"2",506,"",8.63,5.52,4.17,NA,NA,"rG","rG.larv",6
"647",509,"2",506,"",8.63,5.52,4.17,NA,NA,"rG","Tory.mal",1
"760",509,"2",506,"",8.63,5.52,4.17,NA,NA,"rG","Lestodip",1
"232",55,"12",512,"",7.48,6.69,5.64,NA,NA,"rG","rG.larv",1
"677",55,"12",512,"",7.48,6.69,5.64,NA,NA,"rG","Tory.fem",1
"708",55,"18",517,"",4.65,5.39,2.75,2,NA,"vLG","Mesopol",1
"748",55,"18",517,"",4.65,5.39,2.75,2,NA,"vLG","Eulo.fem",1
"678",503,"3",561,"unk",NA,NA,NA,NA,NA,"vLG","Tory.fem",1
"710",503,"3",561,"unk",NA,NA,NA,NA,NA,"vLG","Mesopol",1
"749",503,"3",561,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.fem",1
"249",590,"1.12",588,"",10.53,5.63,5.07,NA,NA,"rG","rG.larv",12
"581",590,"1.12",588,"",10.53,5.63,5.07,NA,NA,"rG","Platy",2
"81",62,"1",686,"",7.43,5.25,4.07,2,NA,"vLG","vLG.pupa",1
"583",62,"1",686,"",7.43,5.25,4.07,2,NA,"vLG","Platy",1
