"","Genotype","shootEst.no18","shootEst.all","aSG_aSG.larv","aSG_Tory","rG_Eulo","rG_Lestodip","rG_Mesopol","rG_Platy","rG_rG.larv","rG_Tory","rsLG_Eury","rsLG_Lathro","rsLG_Pont.surv","SG_Platy","SG_SG.larv","vLG_Eulo","vLG_Mesopol","vLG_Mymarid","vLG_Platy","vLG_Tory","vLG_vLG.pupa","aSG_abund","rG_abund","vLG_abund","SG_abund","rsLG_abund","Platy_abund","Tory_abund","Mesopol_abund","Eulo_abund","Lestodip_abund","Eury_abund","Lathro_abund","Mymarid_abund","gall_total_abund","link_abund","link_richness","gall_total_rich","ptoid_total_rich","network_richness","gall_survive_abund"
"1","*",1094.50352097536,1108.23483946529,1,0,0,0,0,0,21,1,0,0,4,0,19,0,3,0,2,0,2,1,22,7,19,4,2,1,3,0,0,0,0,0,53,6,4,11,4,15,47
"2","A",1684.10640728338,1849.02756947339,0,0,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,1,0,9,1,0,2,0,2,0,0,0,0,0,0,12,2,2,6,2,8,10
"3","B",1788.45420609887,1973.22995514429,1,0,0,0,0,0,11,1,0,0,3,0,0,0,0,0,13,4,11,1,12,28,0,3,13,5,0,0,0,0,0,0,44,18,8,11,8,19,26
"4","D",838.667413268761,805.488401830642,3,0,0,0,0,0,24,4,2,0,3,0,2,0,2,0,7,0,11,3,28,20,2,5,7,4,2,0,0,2,0,0,58,15,8,14,8,22,43
"5","E",1590.15134737084,1733.4230514963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,5,0,0,0,0,3,0,0,0,0,0,7,3,2,5,2,7,4
"6","F",1342.80602001992,1361.8393950609,0,1,0,0,0,0,20,0,1,0,4,0,0,2,2,0,0,2,6,1,20,12,0,5,0,3,2,2,0,1,0,0,38,8,5,9,4,13,30
"7","G",1289.43618267329,1262.77013571434,5,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,1,0,17,5,8,18,0,6,1,0,0,0,0,0,0,0,37,1,1,12,1,13,36
"8","H",1239.12413159636,1285.25833208128,1,0,0,0,0,0,8,1,0,0,9,0,4,0,0,0,0,1,9,1,9,10,4,9,0,2,0,0,0,0,0,0,33,2,2,14,1,15,31
"9","I",1042.30207915745,1034.59081338102,4,3,0,1,0,0,12,1,0,2,11,0,4,0,5,0,2,2,16,7,14,25,4,13,2,6,5,0,1,0,2,0,63,16,13,15,12,27,47
"10","J",1488.29961923409,1672.89913639254,1,0,0,0,0,0,0,1,0,0,7,0,2,1,1,0,0,0,2,1,1,4,2,7,0,1,1,1,0,0,0,0,15,3,3,6,3,9,12
