Vertex,Module ID,Trophic,Gall info,Parasitoid info
*,5,Genotype,,
A,1,Genotype,,
B,3,Genotype,,
D,3,Genotype,,
E,5,Genotype,,
F,5,Genotype,,
G,3,Genotype,,
H,1,Genotype,,
I,5,Genotype,,
J,1,Genotype,,
K,1,Genotype,,
L,5,Genotype,,
M,5,Genotype,,
N,1,Genotype,,
O,1,Genotype,,
P,3,Genotype,,
Q,4,Genotype,,
R,4,Genotype,,
S,1,Genotype,,
T,5,Genotype,,
V,3,Genotype,,
W,4,Genotype,,
X,3,Genotype,,
Y,2,Genotype,,
Z,1,Genotype,,
aSG_Tory,5,Gall-Parasitoid,aSG,Tory
rG_Eulo,4,Gall-Parasitoid,rG,Eulo
rG_Lestodip,4,Gall-Parasitoid,rG,Lestodip
rG_Mesopol,3,Gall-Parasitoid,rG,Mesopol
rG_Platy,4,Gall-Parasitoid,rG,Platy
rG_Tory,1,Gall-Parasitoid,rG,Tory
rsLG_Eury,5,Gall-Parasitoid,rsLG,Eury
rsLG_Lathro,5,Gall-Parasitoid,rsLG,Lathro
SG_Platy,2,Gall-Parasitoid,SG,Platy
vLG_Eulo,1,Gall-Parasitoid,vLG,Eulo
vLG_Mesopol,5,Gall-Parasitoid,vLG,Mesopol
vLG_Mymarid,1,Gall-Parasitoid,vLG,Mymarid
vLG_Platy,3,Gall-Parasitoid,vLG,Platy
vLG_Tory,1,Gall-Parasitoid,vLG,Tory
