"","z-score","mean of null values","SD of null values"
"aSG_Tory",1.85506969889633,0.2741303,0.0170347777330419
"rG_Eulo",2.38501678330733,0.27613728,0.0187385348031075
"rG_Lestodip",2.01740963727654,0.28249534,0.0194971111831803
"rG_Mesopol",2.1687095627388,0.27986518,0.0188355419747462
"rG_Platy",2.56013810051229,0.28397127,0.0178610403832707
"rG_Tory",2.31316308132817,0.29389137,0.0194921967949234
"rsLG_Eury",2.46617839781347,0.28708546,0.0185451060801398
"rsLG_Lathro",1.95473574354924,0.27847842,0.0179495259734151
"SG_Platy",2.4748055265566,0.26820183,0.0166155156672912
"vLG_Eulo",2.17092885600701,0.28853331,0.0172924552069609
"vLG_Mesopol",2.34140618110318,0.29386008,0.018414968042702
"vLG_Mymarid",2.32871274581951,0.28056145,0.0182072907343834
"vLG_Platy",-0.285203393754102,0.3405152,0.0218903426001403
"vLG_Tory",2.57500250949454,0.29276017,0.0190888474161715
