EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates
Diversity Output from Input File:  Asterisk  (November 5, 2014)
Reference Sample = 6
Individuals	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	ACE Mean	ACE  SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)	
1	1	0.39	1.61	0.31	1	1	0	0	0	1	0	1	1	2.55	0.31	5766.5	309655.63	0	0	1	0	1	0	
2	1.73	0.79	2.68	0.48	1.73	1.46	0.89	0.27	0.45	2.1	0.67	2.1	1.76	6.92	0.88	9471.7	381454.84	0.51	0.31	1.73	0.45	1.73	0.45	
3	2.25	1.16	3.34	0.56	2.3	1.65	1.02	0.6	0.49	3	1.49	3	2.53	8.67	1.13	6813.28	223994.41	0.77	0.28	2.23	0.6	2.18	0.63	
4	2.6	1.46	3.74	0.58	2.53	1.31	0.81	0.97	0.69	2.73	0.69	2.73	2.54	6.69	0.74	3.64	3.85	0.84	0.21	2.38	0.49	2.25	0.46	
5	2.83	1.68	3.98	0.59	2.82	1.2	0.72	1.06	0.91	3.12	0.64	3.12	3.05	7.53	0.78	2.82	2.29	0.95	0.14	2.6	0.33	2.43	0.33	
6	3	1.81	4.19	0.6	3	1	0	1	0	3	0	3	3.18	4.18	0.21	2.39	1.66	1.01	0	2.75	0	2.57	0	
7	3.12	1.85	4.38	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	3.2	1.83	4.58	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	3.26	1.77	4.76	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	3.31	1.69	4.93	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	3.34	1.61	5.06	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	3.36	1.54	5.18	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	3.38	1.48	5.27	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	3.39	1.43	5.35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	3.4	1.39	5.4	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	3.4	1.36	5.45	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	3.41	1.33	5.48	1.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	3.41	1.31	5.51	1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	3.41	1.29	5.53	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	3.41	1.28	5.54	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	3.41	1.27	5.56	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	3.41	1.26	5.56	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	3.42	1.26	5.57	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	3.42	1.25	5.58	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	3.42	1.25	5.58	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	3.42	1.25	5.58	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	3.42	1.25	5.58	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	3.42	1.25	5.59	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	3.42	1.25	5.59	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	3.42	1.24	5.59	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates
Diversity Output from Input File:  B  (November 5, 2014)
Reference Sample = 18
Individuals	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	ACE Mean	ACE  SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)	
1	1	1	1	0	1	1	0	0	0	1	0	1	1	2.55	0.31	5766.5	309655.63	0	0	1	0	1	0	
2	1.45	1.45	1.45	0	1.45	0.9	1	0.55	0.5	1.68	0.75	1.68	1.47	4.95	0.65	5839.02	235143.76	0.31	0.35	1.45	0.5	1.45	0.5	
3	1.71	1.71	1.71	0	1.7	0.77	0.78	0.56	0.5	1.84	0.99	1.84	1.85	3.63	0.37	1364	44800.37	0.43	0.35	1.64	0.56	1.59	0.54	
4	1.9	1.9	1.9	0	1.93	0.81	0.66	0.38	0.69	1.98	0.69	1.98	1.93	3.94	0.46	1.89	1.8	0.53	0.32	1.78	0.54	1.67	0.5	
5	2.05	2.05	2.05	0	2.1	0.79	0.64	0.42	0.68	2.2	0.77	2.2	2.16	4.42	0.51	1.57	1.21	0.58	0.3	1.87	0.54	1.74	0.51	
