"","unique.sim","sim.number","genotype.richness","reps.sampled","link.density.plant_gall","generality.HL.plant_gall","vulnerability.LL.plant_gall","link.density.gall_ptoid","generality.HL.gall_ptoid","vulnerability.LL.gall_ptoid","total.gall.abund","total.gall_ptoid.abund","total_complexity","total_complexity.check","plants_sampled"
"1","1_1_4",1,1,4,1.49587060740256,1,1,1,1,1,3.75,0.25,1.24793530370128,1,4
"2","1_2_4",1,2,4,1.61181082349706,1,2.22362164699411,2.03388420143551,1,3.06776840287102,6.375,1.375,1.82284751246628,1.82284751246628,8
"3","1_3_4",1,3,4,2.03439629039346,1,3.06879258078691,1.60381228048266,1.60381228048266,1.60381228048266,2.58333333333333,0.416666666666667,1.81910428543806,1.81910428543806,12
"4","1_4_4",1,4,4,1.70566703303624,1,2.41133406607248,2.21986243353666,1.42152285124109,3.01820201583222,5.25,1.58333333333333,1.96276473328645,1.96276473328645,16
"5","1_5_4",1,5,4,1.11965771536453,1,1.23931543072907,1.61921149201566,1.19311188048366,2.04531110354767,4.85,1.55,1.3694346036901,1.3694346036901,20
"6","1_6_4",1,6,4,1.88551558412433,1,2.77103116824866,1.77522438640629,1.2845962916071,2.26585248120548,2.9,0.6,1.83036998526531,1.83036998526531,24
"7","1_7_4",1,7,4,1.77355483382841,1,2.54710966765683,2.15464551270827,1.38962725768693,2.9196637677296,5.45833333333333,1.75,1.96410017326834,1.96410017326834,28
"8","1_8_4",1,8,4,1.71375678064872,1,2.42751356129744,2.33716504760197,1.40706989446088,3.26726020074306,5.21428571428571,1.89285714285714,2.02546091412535,2.02546091412535,32
"9","1_9_4",1,9,4,1.91224525098514,1,2.82449050197027,2.72084437411144,1.97013863849812,3.47155010972476,7.08333333333333,2.19444444444444,2.31654481254829,2.31654481254829,36
"10","1_10_4",1,10,4,1.9898760744641,1,2.97975214892821,2.23934456371534,1.70225579620975,2.77643333122093,6.38888888888889,1.97222222222222,2.11461031908972,2.11461031908972,40
"11","1_11_4",1,11,4,1.26304513655707,1,1.52609027311415,2.19710610045601,1.55976585158039,2.83444634933163,6.15625,1.71875,1.73007561850654,1.73007561850654,44
"12","1_12_4",1,12,4,1.84561470478705,1,2.6912294095741,2.64404219060091,1.73417077053767,3.55391361066415,6.72727272727273,2.18181818181818,2.24482844769398,2.24482844769398,48
"13","1_13_4",1,13,4,2.02244670674002,1,3.04489341348003,2.46130599746541,1.36824229237538,3.55436970255544,5.675,0.9,2.24187635210271,2.24187635210271,52
"14","1_14_4",1,14,4,1.76391307820581,1,2.52782615641163,2.40810243368776,1.64944099731901,3.16676387005652,6.375,2.225,2.08600775594679,2.08600775594679,56
"15","1_15_4",1,15,4,1.73080116293945,1,2.46160232587891,2.22980844184874,1.45441760775789,3.00519927593959,6.41666666666667,1.97222222222222,1.9803048023941,1.9803048023941,60
"16","1_16_4",1,16,4,1.98040586420584,1,2.96081172841168,2.32714514793105,1.4998725930575,3.1544177028046,5.60714285714286,1.35714285714286,2.15377550606844,2.15377550606844,64
"17","1_17_4",1,17,4,1.87390144802611,1,2.74780289605223,2.28418298429224,1.57547233363111,2.99289363495337,5.27272727272727,1.61363636363636,2.07904221615918,2.07904221615918,68
"18","1_18_4",1,18,4,1.94597228697039,1,2.89194457394078,2.20858150152901,1.59719459473592,2.8199684083221,6.40384615384615,1.76923076923077,2.0772768942497,2.0772768942497,72
"19","1_19_4",1,19,4,2.05544616253193,1,3.11089232506386,2.5604489714995,2.01616263919765,3.10473530380135,5.625,1.72916666666667,2.30794756701572,2.30794756701572,76
"20","1_20_4",1,20,4,1.90351615995169,1,2.80703231990338,2.21633220619977,1.56449311567211,2.86817129672743,7.30357142857143,2.46428571428571,2.05992418307573,2.05992418307573,80
"21","1_21_4",1,21,4,1.99512135537436,1,2.99024271074872,2.37346105901014,1.61692521407304,3.12999690394724,5.59615384615385,1.57692307692308,2.18429120719225,2.18429120719225,84
"22","1_22_4",1,22,4,1.77589579171029,1,2.55179158342058,2.38706447774795,1.43517137802384,3.33895757747206,4.875,1.484375,2.08148013472912,2.08148013472912,88
"23","1_23_4",1,23,4,1.929896721772,1,2.85979344354399,2.39553543116841,1.58272109191022,3.2083497704266,6.453125,1.703125,2.1627160764702,2.1627160764702,92
