"","Genotype","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1","vLG_2011_glm.nb_density"
"1","*",3.66666666666667,1,0.833333333333333,0.833333333333333,1.91363952119177,2.31405558932251,0.400433333333333,1.79478333333333,0.606060606060606,396.422333333333,52.481,0.167833333333333,1.29066666666667,0.0318333333333333,7.17583333333333,1.74666666666667,4.97883333333333,12.7041666666667,0,0.466,36.1913333333333,26.1693333333333,0,1.35916666666667,2.18433333333333,2.56466666666667,1.2445,0,0.245666666666667,4.937,0.613666666666667,0.3735,1.02016666666667,1.449,0.264666666666667,0.334,2.7635,0,0,0.2555,0.9150824786,48.780740358,53.3981372541112,1.86483089273296,10.7132885950724,48.780740358,0.9150824786,53.3981372541112,2.33005110220931,2.46877367649698,1.09606587490904,2.94608564354359,-1.09615548435433,-1.60184226987832,3.74852539240605
"2","A",3.6,0,0,0,2.84222888459979,2.62503010355623,0.38546,1.84028,1.59090909090909,410.7775,57.4,0.18025,0.16025,0.0525,0,0,0.03075,21.21725,0,0.43125,2.7555,0.265,0,1.74925,0.6705,2.45325,0.052,0.0935,0.25525,5.24275,0.207,0,1.1905,0,0.57775,0,0.3455,0,0,0,1.0307981968,49.11685562,47.8206873923494,2.04872319589298,10.8206102310094,49.11685562,1.0307981968,47.8206873923494,3.28830220976431,-2.04295733032296,-1.16324283664029,-0.742163709382309,0.0907089198322101,-1.51336420613942,2.64449362330412
"3","B",8,0.8,0,0,1.17205548845125,1.80506657186436,0.40754,1.77888,1.63636363636364,312.921333333333,66.084,0.354833333333333,2.3035,0.262833333333333,0.172833333333333,0.109666666666667,0.178,31.1418333333333,0.284,0.7815,89.0735,0.372833333333333,4.34283333333333,1.69316666666667,1.261,3.73216666666667,0,5.70833333333333,0.228833333333333,6.13183333333333,0.737,0,2.3815,0,0.909166666666667,0.413666666666667,60.5196666666667,0,0,0.509,0.949053893666667,48.228001275,51.3820353038341,2.04190578244028,10.5325605261203,48.228001275,0.949053893666667,51.3820353038341,-0.0157748887717126,-1.1874160468928,-2.57515130293877,-1.70258259359539,0.564207752034604,0.741578465645784,12.9202906155208
"4","D",5.8,2,0.4,0,1.55180943234119,2.3422286952832,0.32918,1.76936,0.545454545454546,334.0068,53.2356,0.2784,2.776,0.4362,0.186,0.0768,0.3296,21.3506,3.1738,0.6572,101.1486,0.1592,2.9436,1.5242,0.5112,2.63,0,8.4188,0.3292,4.1564,0.548,0,1.5886,0,0.3146,0.4472,77.2936,0,0.9004,9.562,0.8330973388,49.675281524,60.3955692129545,1.70678899031723,10.1788457216906,49.675281524,0.8330973388,60.3955692129545,-0.331233380830314,-1.05432430404059,-2.41558547521088,-0.186516540968959,0.554646679917837,1.57047798959268,7.79053194500762
"5","E",3.66666666666667,0,0,0,2.2259953143881,2.41952315966926,0.44562,1.82178,0.90909090909091,306.6144,59.1886,0.3672,2.9748,0.1688,0.2988,0.1752,0.2694,28.9618,0.6186,0.7922,112.0368,0.1922,7.5696,1.361,0.8332,1.3958,0,9.2894,0.3662,4.5312,0.5504,0,1.4006,0.162,0.8412,0.2206,55.6786,0,0.3314,0.1432,1.02753892525,48.2286357875,47.0171702640957,1.76941883453174,9.70447910335863,48.2286357875,1.02753892525,47.0171702640956,-0.411436409678566,-1.35978077760118,-2.12477379246119,-0.250627811368259,1.62334339116249,1.52891827387263,3.43366878898263
"6","F",6.16666666666667,0.5,0.166666666666667,0.333333333333333,1.74839198586687,2.08626245713827,0.39656,1.77558,0.727272727272728,329.7612,77.944,0.253,1.596,0.153,0.4634,0.2028,0.3704,32.5782,3.2666,0.7674,57.9206,0.9338,5.1888,1.551,1.5392,2.4716,0,11.2058,0.689,9.2912,0,0,1.4606,0.0286,0.9186,0.1054,25.3458,0,0,2.937,0.8790121316,47.827425384,54.8639562560522,1.6955808702789,9.81511248887331,47.827425384,0.8790121316,54.8639562560522,0.342102541846549,-1.20234602771523,-2.06007768949254,-2.21066660507572,-1.1105060861088,2.12547035895274,6.93932141944759
"7","G",3.16666666666667,0,0.166666666666667,0.166666666666667,2.038856100926,2.50136660588615,0.372366666666667,1.80943333333333,0,348.396857142857,55.6428571428571,0.268285714285714,1.91028571428571,0.0304285714285714,4.00957142857143,1.25871428571429,1.65785714285714,33.4638571428571,0.304857142857143,0.598,77.2288571428571,3.42771428571429,1.60314285714286,2.78971428571429,0.645428571428571,2.35642857142857,0.0311428571428571,5.17385714285714,0.614,4.56157142857143,1.12585714285714,0,1.51728571428571,0.034,0.770142857142857,0.340857142857143,43.0774285714286,0,0,2.726,0.956262064,49.346783448,51.8372748822095,1.87317711600133,10.0856806540047,49.346783448,0.956262064,51.8372748822095,0.445870163662077,0.219096918751059,-0.403562166581039,-1.35131233267349,1.57543057263776,0.322358205296715,3.50101570826981
"8","H",4.6,1,0.4,1.2,1.77188959996191,2.55186412688219,0.32864,1.78358,0.181818181818182,268.098,64.9323333333333,0.286333333333333,3.04333333333333,0.0573333333333333,7.237,6.31066666666667,0.0846666666666667,9.0775,0.0426666666666667,0.5485,117.671,0.0185,0.399166666666667,2.78666666666667,0.630333333333333,2.07566666666667,0,0.549166666666667,0.698666666666667,4.1095,0.517333333333333,0,1.99566666666667,0,0.651,0,48.6205,0,1.07533333333333,7.89366666666667,1.089426303,49.003610992,45.3411144993612,2.00596072206669,11.0801941675925,49.003610992,1.089426303,45.3411144993612,-1.16282328075766,-0.63715060570652,2.44185374277119,-1.7036629034797,1.66814845257678,-0.93468890081907,5.4456954317804
"9","I",6.75,3.5,4,2.25,1.92991029196104,2.20042661039691,0.485875,1.812325,4.69696969696969,362.8955,57.3866666666667,0.5115,3.503,0.219166666666667,5.80283333333333,1.42666666666667,0.418166666666667,17.2415,2.47883333333333,0.325,42.3141666666667,1.911,2.46933333333333,1.51366666666667,0.9515,3.2535,0.0346666666666667,9.13783333333333,0.626666666666667,7.28683333333333,0,0,1.82766666666667,0.0978333333333333,0.793166666666667,1.07233333333333,12.7283333333333,0,0,3.10716666666667,1.144735384,48.565077972,42.7304085123588,1.71530119882181,10.8672258696339,48.565077972,1.144735384,42.7304085123588,0.288231618946868,0.19958472946671,0.360245223655084,-2.16450467053332,-0.998480832199916,1.45771952236273,9.52445588101577
"10","J",2,2.25,0.25,1,1.46700638683177,2.15071273753139,0.48432,1.80804,3.09090909090909,241.1414,64.9744,0.4156,3.8914,0.2572,4.6894,1.7592,0.166,23.6492,0,0.48,121.053,0.4348,0,1.5952,1.0364,2.615,0,0,0.5278,6.0754,0.2232,0,1.5074,0,0.59,0,57.0992,0,1.5642,12.2572,1.1675513266,49.128264618,42.229903922324,2.15287408500005,12.3298495698286,49.128264618,1.1675513266,42.229903922324,-1.88799899569289,-0.851090610992929,-0.0244896946873098,-1.18194199613499,-0.105733514093467,-1.60184226987832,2.39357920464188
