"","Plant.Position","Stem.Diameter.mm","Galls.found","shootEst.all","shootEst.no18"
"1",46,38.6,1,124.853132149946,139.086005844646
"2",52,36.8,1,104.50936915315,120.308286862188
"3",53,42.3,1,175.573806086413,183.661218930461
"4",54,52,1,378.799571404938,343.821386659906
"5",55,44.2,1,206.79034976002,209.880024788393
"6",59,39.9,1,141.246786362241,153.806225370539
"7",60,48.1,1,283.337698920593,271.33257977973
"8",62,50,1,327.317184424437,305.211527736311
"9",63,56.2,1,505.880492758196,435.294617035854
"10",65,53.5,1,421.122733608685,374.836957364858
"11",68,48,1,281.149952313655,269.622973915683
"12",69,52.2,0,384.254368868127,347.853371676473
"13",71,47.7,1,274.660830121325,264.537534484633
"14",72,50.1,1,329.762020607988,307.069222821287
"15",73,46.4,0,247.799966972059,243.243302584875
"16",74,52.7,0,398.142612587403,358.071826888342
"17",75,55.5,1,482.807759415814,419.036015605462
"18",77,52.5,0,392.544006797228,353.960624734874
"19",81,38.2,1,120.101939488093,134.754653628176
"20",86,51.7,1,370.72387277127,337.832370852061
"21",87,37.6,1,113.224954286215,128.428714760193
"22",90,49.6,1,317.670238926113,297.856122980089
"23",167,49.8,1,322.467323306603,301.518781572347
"24",185,47.5,1,270.396069656915,261.18323358751
"25",191,42.2,1,174.032856747602,182.345721402902
"26",192,43.4,1,193.19039175034,198.554251200924
"27",194,46.9,1,257.892242313058,251.291716676965
"28",199,52.2,1,384.254368868127,347.853371676473
"29",203,48.5,1,292.21340238871,278.243717346859
"30",204,51.7,1,370.72387277127,337.832370852061
"31",207,39.7,1,138.627779860107,151.476680974632
"32",228,44,1,203.326750122533,207.009013785157
"33",231,51.7,1,370.72387277127,337.832370852061
"34",232,52.6,1,395.336059994576,356.012245336634
"35",233,37.5,1,112.107452071908,127.394153035304
"36",234,55.9,1,495.895656140702,428.27579932062
"37",235,44.3,1,208.538239995587,211.325492357578
"38",240,46.9,1,257.892242313058,251.291716676965
"39",241,49.7,0,320.062206860588,299.683699161892
"40",243,50.1,1,329.762020607988,307.069222821287
"41",244,45.4,1,228.485976223304,227.668771075999
"42",245,47.9,1,278.974588269154,267.920608173337
"43",247,30.2,0,50.0542414965502,66.0067301328162
"44",249,49.7,1,320.062206860588,299.683699161892
"45",250,51.6,1,368.060184332852,335.851692620748
"46",253,36.8,0,104.50936915315,120.308286862188
"47",255,43.2,1,189.895310807941,195.788338113103
"48",257,49.5,1,315.291373913505,296.036037364122
"49",259,45.5,1,230.366048270584,229.195214428022
"50",260,51,1,352.370989871097,324.130959186325
"51",262,47.8,1,276.811562333759,266.225466910111
"52",263,42.8,1,183.428723287954,190.334275558251
"53",268,41.4,1,162.058866171188,172.048491287977
"54",269,54.6,1,454.285655040803,398.737340368393
"55",270,54.3,1,445.058388306984,392.120632978501
"56",319,51,1,352.370989871097,324.130959186325
"57",320,49.7,1,320.062206860588,299.683699161892
"58",321,50.4,1,337.176702121881,312.687784101399
"59",323,44.2,1,206.79034976002,209.880024788393
"60",325,47.5,1,270.396069656915,261.18323358751
"61",326,51.9,1,376.093519295734,341.817202184173
"62",329,37.7,1,114.350583338002,129.468896764365
"63",333,37.3,1,109.896679278524,125.341828419546
"64",334,40.9,1,154.888254750424,165.8150672264
"65",335,46.9,1,257.892242313058,251.291716676965
"66",345,58.6,1,591.139114140453,494.243517924796
"67",346,44.4,1,210.296913073928,212.777622099435
"68",350,47.8,0,276.811562333759,266.225466910111
"69",352,53.6,1,424.061929221881,376.968893960722
"70",361,42.6,1,180.256559445488,187.645876819629
"71",362,52.2,1,384.254368868127,347.853371676473
"72",363,36.5,1,101.371249409915,117.354241614501
"73",364,49.7,1,320.062206860588,299.683699161892
"74",365,39.9,1,141.246786362241,153.806225370539
"75",368,30.2,1,50.0542414965502,66.0067301328162
"76",370,55.2,1,473.159016691825,412.194607206021
"77",372,31,1,55.1736422130423,71.4617640938085
"78",373,34.3,1,12.2310106205763,23.7493780406934
"79",374,48.4,1,289.975679656331,276.504994546032
"80",376,40.8,1,153.482478235971,164.586842600687
"81",379,53.4,1,418.198467867048,372.713123031044
"82",380,47.1,1,262.012127879931,254.560449760969
"83",382,48.4,1,289.975679656331,276.504994546032
"84",384,49.2,1,308.232941508539,290.620567300681
"85",387,54.8,1,460.514400836662,403.189827916654
"86",388,49.8,1,322.467323306603,301.518781572347
"87",389,49,0,303.592001700074,287.047419655462
"88",390,117.4,1,1189.81004005016,993.619041282888
"89",392,45.5,1,230.366048270584,229.195214428022
"90",393,32.5,0,65.7907145907078,82.4897691478337
"91",396,47.8,1,276.811562333759,266.225466910111
"92",397,42.7,0,181.837581338497,188.986869791639
"93",399,49.7,1,320.062206860588,299.683699161892
"94",400,35.9,1,95.3025013155183,111.592879053329
"95",401,36.1,0,97.2950171768861,113.491740269857
"96",402,44.7,0,215.638049803451,217.174140341105
"97",404,31.8,1,60.665926410435,77.2112420400641
"98",405,59.5,1,625.667309964935,517.66000142503
"99",439,47.9,1,278.974588269154,267.920608173337
"100",451,38.6,1,124.853132149946,139.086005844646
"101",453,56,1,499.207765160246,430.606904726988
"102",454,43.1,1,188.263278880683,194.415125393522
"103",455,61.5,1,707.653068666627,572.336899778713
"104",456,56.1,1,502.536027440896,432.946505387589
"105",460,59.3,1,617.870173539931,512.393417363073
"106",461,49.3,1,310.572770627957,292.418275184299
"107",462,55.6,1,486.055751858789,421.333297308296
"108",465,45.9,1,237.999679852778,235.369638233952
"109",467,58.9,1,602.489442357994,501.968303086366
"110",469,48.6,1,294.46373095663,279.989758500388
"111",471,50.1,1,329.762020607988,307.069222821287
"112",472,39.7,1,138.627779860107,151.476680974632
"113",474,54.3,1,445.058388306984,392.120632978501
"114",475,58.2,1,576.249659671782,484.06839604386
"115",477,51.2,1,357.545235538163,328.006863272096
"116",481,50.8,1,347.251733134381,320.285894905
"117",492,46.7,1,253.819945923519,248.051256075529
"118",493,44.6,1,213.846775865484,215.70193049189
"119",494,46.5,1,249.794889284746,244.838942928664
"120",495,40.7,1,152.086057793174,163.364735084219
"121",497,54.3,1,445.058388306984,392.120632978501
"122",499,44.7,1,215.638049803451,217.174140341105
"123",501,43.3,1,191.537668013829,197.168041521294
"124",502,51.6,1,368.060184332852,335.851692620748
"125",503,44.4,1,210.296913073928,212.777622099435
"126",506,56.8,1,526.290343962943,449.562898869209
"127",507,31.8,1,60.665926410435,77.2112420400641
"128",509,44.5,1,212.066411004529,214.23642961132
"129",510,47.6,1,272.522347312929,262.856795256746
"130",511,52.5,1,392.544006797228,353.960624734874
"131",514,54.2,1,442.013331552198,389.931540696675
"132",518,58.6,1,591.139114140453,494.243517924796
"133",520,49.4,1,312.925566299635,294.223426652348
"134",521,46.5,1,249.794889284746,244.838942928664
"135",523,48.7,1,296.72671021573,281.743133656421
"136",527,43.6,1,196.527104168541,201.346251712486
"137",529,47.7,1,274.660830121325,264.537534484633
"138",532,54,1,435.968974506637,385.577977117302
"139",533,53,1,406.649742758209,364.298494218108
"140",534,48.6,1,294.46373095663,279.989758500388
"141",535,47.4,1,268.281952968928,259.516833839203
"142",536,59,1,606.308061872618,504.561114337464
"143",541,44.2,1,206.79034976002,209.880024788393
"144",558,58.2,1,576.249659671782,484.06839604386
"145",562,50.2,1,332.220188326465,308.934486797842
"146",566,49.7,0,320.062206860588,299.683699161892
"147",569,48.6,1,294.46373095663,279.989758500388
"148",585,53.1,1,409.514769279472,366.39007655008
"149",587,35.3,1,89.5038909996061,106.024367501187
"150",590,47.3,1,266.179953131953,257.857580375323
"151",619,41.2,1,159.16211687984,169.536599264642
"152",626,44.5,1,212.066411004529,214.23642961132
"153",650,49.1,1,305.906033618105,288.830287343381
