"","Gender","Genotype","plant.position","shootEst.no18","shootEst.all","galls.found","aSG_aSG.larv","aSG_Tory","rG_Eulo","rG_Lestodip","rG_Mesopol","rG_Platy","rG_rG.larv","rG_Tory","rsLG_Eury","rsLG_Lathro","rsLG_Pont.surv","SG_Platy","SG_SG.larv","vLG_Eulo","vLG_Mesopol","vLG_Mymarid","vLG_Platy","vLG_Tory","vLG_vLG.pupa","aSG_abund","rG_abund","vLG_abund","SG_abund","rsLG_abund","Platy_abund","Tory_abund","Mesopol_abund","Eulo_abund","Lestodip_abund","Eury_abund","Lathro_abund","Mymarid_abund","gall_total_abund","link_abund","link_richness","gall_total_rich","ptoid_total_rich","network_richness","vLG_parasitized","rG_parasitized","rsLG_parasitized","SG_parasitized","aSG_parasitized","vLG_ecto","rG_ecto","vLG_egg","vLG.2011","rsLG.2011","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1","aSG.height.mean","rG.height.mean","rsLG.height.mean","SG.height.mean","vLG.height.mean","aSG.gall.count","rG.gall.count","rsLG.gall.count","SG.gall.count","vLG.gall.count"
"1","f","*","87",128.428714760193,113.224954286215,1,1,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,1,0,0,1,12,1,7,0,1,0,0,0,0,0,0,0,21,1,1,4,1,5,1,0,0,0,0,0,0,1,6,0,1,0,2.24771589083984,2.44842257365337,0.3788,1.8138,1.81818181818182,467.056,45.322,0.095,0.671,0,7.019,1.852,6.051,17.502,0,0.705,14.937,23.017,0,1.248,2.192,2.391,1.006,0,0.168,4.685,0.697,0.345,0.953,1.45,0.251,0,1.122,0,0,0,NA,NA,NA,1.93388429752066,11.6592286501377,48.780740358,0.9150824786,53.3981372541112,3.30467793522168,2.49564915106064,0.585510097445346,3.26195973035757,-0.915487313430008,-1.60184226987832,1.7,8.6925,NA,11.6166666666667,7.09,1,8,NA,3,1
"2","f","*","185",261.18323358751,270.396069656915,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,8,1,1,3,1.89149165083069,2.38190804940424,0.3719,1.7962,0.909090909090909,450.259,45.807,0.203,1.214,0,8.298,2.08,6.255,12.905,0,0.449,32.944,27.688,0,1.276,1.859,2.343,1.842,0,0.293,4.628,0.567,0.286,1.015,1.296,0.276,0.332,2.491,0,0,0,0.963685215,47.61354828,49.407781232796,1.77460317460317,9.11142857142857,48.780740358,0.9150824786,53.3981372541112,2.47023619365422,3.2558294087724,1.27565980187679,2.72424867097971,-0.801656330758369,-1.60184226987832,NA,NA,NA,10.64,NA,NA,NA,NA,3,NA
"3","f","*","240",251.291716676965,257.892242313058,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,2,4,0,0,0,0,3,0,0,0,0,0,6,3,1,2,1,3,3,0,0,0,0,3,0,0,2,0,0,0,1.75519554650652,2.33603596371518,0.4419,1.7964,0,314.294,61.349,0.237,2.66,0,6.525,1.598,4.574,10.356,0,0.342,84.023,49.616,0,1.392,2.745,2.161,3.128,0,0.286,5.096,0.836,0.596,1.034,1.679,0.271,0.871,5.326,0,0,1.012,NA,NA,NA,1.78294573643411,11.5328165374677,48.780740358,0.9150824786,53.3981372541112,0.58010725109604,3.85211320957771,1.25643154857874,3.48369607884055,-0.942951338824233,-1.60184226987832,NA,5.69,NA,NA,6.9,NA,2,NA,NA,1
"4","f","*","319",324.130959186325,352.370989871097,1,0,0,0,0,0,0,7,1,0,0,4,0,0,0,0,0,0,0,1,0,8,1,0,4,0,1,0,0,0,0,0,0,13,1,1,3,1,4,0,1,0,0,0,0,1,0,3,5,3,2,2.08825990426404,2.41745891581325,0.3381,1.7741,0,399.491,63.794,0.203,2.1,0.191,7.373,1.644,5.341,11.813,0,0.515,62.903,32.1,0,1.747,2.532,3.107,0,0,0.424,6.385,0.632,0.418,1.239,1.656,0.324,0.801,6.229,0,0,0.521,NA,NA,NA,1.81380753138075,10.7610878661088,48.780740358,0.9150824786,53.3981372541112,1.18147130407272,2.52373586811573,0.488402159081909,2.09719348779849,-1.62943938649097,-1.60184226987832,NA,6.23125,4.8125,NA,6.77,NA,8,4,NA,1
"5","f","*","329",129.468896764365,114.350583338002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0.722815848092686,1.63878026124153,0.396,1.7497,0.909090909090909,366.942,49.799,0.208,1.099,0,7.722,1.809,5.632,12.41,0,0.552,22.341,21.619,0,1.597,2.208,3.025,1.491,0,0.204,5.049,0.495,0.307,1.186,1.523,0.308,0,1.413,0,0,0,NA,NA,NA,1.94366197183099,10.2170294494238,48.780740358,0.9150824786,53.3981372541112,2.28305232761795,2.63147013790466,1.18448665391594,2.36611406727751,-1.22129593952015,-1.60184226987832,NA,NA,NA,NA,8.73,NA,NA,NA,NA,1
"6","f","A","232",356.012245336634,395.336059994576,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,2,0,1,0,0,0,0,1,0,3,0,0,0,1.50784905618313,2.50346907648023,0.3087,1.7859,4.54545454545454,417.773,49.697,0.16,0,0.065,0,0,0,19.551,0,0.48,0,0.324,0,1.424,0.561,2.094,0,0,0.18,4.873,0.13,0,0.814,0,0.422,0,0,0,0,0,NA,NA,NA,1.95681818181818,10.4806818181818,49.11685562,1.0307981968,47.8206873923494,3.90101878526106,-2.05821609074115,-1.19634314111589,0.084611098636441,-0.135444127126726,-1.60184226987832,NA,5.88,NA,NA,NA,NA,2,NA,NA,NA
"7","f","A","477",328.006863272096,357.545235538163,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3.27400773604852,2.73512310920997,0.4289,1.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.11685562,1.0307981968,47.8206873923494,NA,NA,NA,NA,NA,NA,NA,6.745,NA,NA,NA,NA,2,NA,NA,NA
"8","f","A","481",320.285894905,347.251733134381,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,5,1,1,2,1,3,0,1,0,0,0,0,1,0,2,0,0,0,3.69364218177958,2.63535132283627,0.4769,1.8627,0,315.837,71.645,0.151,0.409,0.068,0,0,0.123,18.748,0,0.364,5.726,0.348,0,1.766,0.644,2.649,0.208,0.207,0.216,5.242,0.171,0,1.205,0,0.583,0,0.671,0,0,0,1.11966598,49.14498138,43.8925378263257,2.1985559566787,11.4945848375451,49.11685562,1.0307981968,47.8206873923494,2.33541136197501,-1.79194407743373,-1.00513586924951,-0.850175522518958,-0.0257641411864508,-1.41539603118767,NA,6.09,NA,NA,7.15,NA,4,NA,NA,1
"9","f","A","520",294.223426652348,312.925566299635,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2.72246454358508,2.68695741923646,0.3595,1.8528,1.81818181818182,454.317,52.063,0.231,0,0,0,0,0,20.753,0,0.41,0,0,0,1.647,0.603,2.366,0,0,0.286,5.294,0.217,0,1.052,0,0.513,0,0,0,0,0,1.030895233,49.39281845,47.9125490824731,2.13385826771654,11.0728346456693,49.11685562,1.0307981968,47.8206873923494,3.76659365650812,-2.27463231742081,-0.94195253015477,-0.557649000797439,-0.0166747155780567,-1.60184226987832,NA,5.99,NA,NA,NA,NA,1,NA,NA,NA
"10","f","A","532",385.577977117302,435.968974506637,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3.01318090540263,2.56424959001823,0.3533,1.8624,0,455.183,56.195,0.179,0.232,0.077,0,0,0,25.817,0,0.471,5.296,0.388,0,2.16,0.874,2.704,0,0.167,0.339,5.562,0.31,0,1.691,0,0.793,0,0.711,0,0,0,0.952981889,49.6169281,52.0649224006397,1.90566037735849,10.2343396226415,49.11685562,1.0307981968,47.8206873923494,3.15018503531305,-2.04703683569615,-1.509539806041,-1.64544141284928,0.540718663220074,-1.43437625361338,NA,NA,5.445,NA,NA,NA,NA,2,NA,NA
