"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"1","1_4_C","1",4,"C",1.84582948596535,2.69165897193069,1,1,1,1,1.42291474298267
"2","1_4_A","1",4,"A",1.22878463249055,1.45756926498109,1,1,1,1,1.11439231624527
"3","1_4_B","1",4,"B",1.09143527140141,1.18287054280281,1,1.36281704726414,1.72563409452829,1,1.22712615933278
"4","1_4_D","1",4,"D",1.88561032150617,2.77122064301234,1,1.33333333333333,1.66666666666667,1,1.60947182741975
"5","1_4_E","1",4,"E",1.40948425582659,1.81896851165317,1,1,1,1,1.20474212791329
"6","1_4_F","1",4,"F",1.6013539274599,2.20270785491979,1,2.04783176603764,2.71428571428571,1.38137781778956,1.82459284674877
"7","1_4_G","1",4,"G",1.61591154657666,2.23182309315331,1,1,1,1,1.30795577328833
"8","1_4_H","1",4,"H",1.68154168739993,2.36308337479987,1,1.5,1,2,1.59077084369997
"9","1_4_I","1",4,"I",2.2679500715557,3.53590014311141,1,1.7688949423003,1.87678601382604,1.66100387077456,2.018422506928
"10","1_4_J","1",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"11","1_4_K","1",4,"K",1.72217892648744,2.44435785297488,1,2.25724868444112,2.96578526260002,1.54871210628223,1.98971380546428
"12","1_4_L","1",4,"L",1.14672860450566,1.29345720901131,1,2,3,1,1.57336430225283
"13","1_4_M","1",4,"M",1.33652906337926,1.67305812675851,1,1,1,1,1.16826453168963
"14","1_4_N","1",4,"N",1.50981964965802,2.01963929931604,1,1.33333333333333,1.66666666666667,1,1.42157649149568
"15","1_4_O","1",4,"O",1.59806996049677,2.19613992099354,1,1,1,1,1.29903498024839
"16","1_4_P","1",4,"P",1.5,2,1,NA,NA,NA,1.5
"17","1_4_Q","1",4,"Q",1.49587060740256,1.99174121480513,1,1,1,1,1.24793530370128
"18","1_4_R","1",4,"R",1.10155351312869,1.20310702625738,1,1.69055078897615,2.3811015779523,1,1.39605215105242
"19","1_4_S","1",4,"S",1.54848864543783,2.09697729087565,1,2.19988403368144,3.02238539206122,1.37738267530166,1.87418633955963
"20","1_4_T","1",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"21","1_4_V","1",4,"V",1,1,1,2.21514239090612,3.43028478181225,1,1.60757119545306
"22","1_4_W","1",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"23","1_4_X","1",4,"X",1.53498780940822,2.06997561881644,1,1.73665490264146,2.15071434361074,1.32259546167218,1.63582135602484
"24","1_4_Y","1",4,"Y",1.49430484915279,1.98860969830558,1,1.37738267530166,1.75476535060332,1,1.43584376222723
"25","1_4_Z","1",4,"Z",1.49150538213801,1.98301076427603,1,1.84009920630967,2.37155579836459,1.30864261425474,1.66580229422384
"26","2_4_C","2",4,"C",1.99883744763057,2.99767489526115,1,1.48006585210389,1.96013170420779,1,1.73945164986723
"27","2_4_A","2",4,"A",1.22878463249055,1.45756926498109,1,1,1,1,1.11439231624527
"28","2_4_B","2",4,"B",1.62177555625029,2.24355111250057,1,1.48376486274186,1.67090253386962,1.2966271916141,1.55277020949607
"29","2_4_D","2",4,"D",1.8663407602185,2.73268152043699,1,1.24176535023879,1.48353070047759,1,1.55405305522864
"30","2_4_E","2",4,"E",1.5,2,1,1,1,1,1.25
"31","2_4_F","2",4,"F",1.48006585210389,1.96013170420779,1,NA,NA,NA,1.48006585210389
"32","2_4_G","2",4,"G",1.46890962043919,1.93781924087838,1,NA,NA,NA,1.46890962043919
"33","2_4_H","2",4,"H",2.1188002741058,3.23760054821159,1,1.5,1,2,1.8094001370529
"34","2_4_I","2",4,"I",2.11915198369772,3.23830396739545,1,2.10308250452479,2.1663061826648,2.03985882638477,2.11111724411126
"35","2_4_J","2",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"36","2_4_K","2",4,"K",1.67720762871669,2.35441525743338,1,2.59737073245523,3.83901273893113,1.35572872597933,2.13728918058596
"37","2_4_L","2",4,"L",1.17806570669314,1.35613141338627,1,1.44494078742115,1.88988157484231,1,1.31150324705715
"38","2_4_M","2",4,"M",1.33652906337926,1.67305812675851,1,1,1,1,1.16826453168963
"39","2_4_N","2",4,"N",1.32469244423306,1.64938488846612,1,1.33333333333333,1.66666666666667,1,1.3290128887832
"40","2_4_O","2",4,"O",1.37738267530166,1.75476535060332,1,NA,NA,NA,1.37738267530166
"41","2_4_P","2",4,"P",1.5,2,1,NA,NA,NA,1.5
"42","2_4_Q","2",4,"Q",1.93587294374629,2.87174588749259,1,1.66666666666667,1.66666666666667,1.66666666666667,1.80126980520648
"43","2_4_R","2",4,"R",1.24174520141128,1.48349040282257,1,1.69055078897615,2.3811015779523,1,1.46614799519372
