Variable,Description
unique.sim,code for each replicate of the simulation
df.sim.number,data frame used for this simulation 
sim.number,simulation number
genotypes.sampled,number of genotypes sampled
genotype.combo,unique combination of genotypes sampled
plants.sampled,number of plants sampled
willow_vLG,number of willow-vLG (willow-Iteomyia salicisverruca) interactions 
willow_rG,number of willow-rG (willow-Rabdophaga salicisbrassicoides) interactions 
willow_aSG,number of willow-aSG (willow-apical stem gall from unknown midge species) interactions 
willow_SG,number of willow-SG (willow-Rabdophaga salicisbattatus) interactions 
link.density.plant_gall,Quantitative weighted linkage density of willow-gall interactions
vulnerability.plant_gall,Quantitative weighted vulnerability of willow-gall interactions
generality.plant_gall,Quantitative weighted generality of willow-gall interactions
link.density.gall_ptoid,Quantitative weighted linkage density of gall-parasitoid interactions
vulnerability.gall_ptoid,Quantitative weighted vulnerability of gall-parasitoid interactions
generality.gall_ptoid,Quantitative weighted generality of gall-parasitoid interactions
total_complexity,Quantitative weighted linkage density of willow-gall-parasitoid interactions
