Variable,Description
unique.sim,code for each replicate of the simulation
sim.number,simulation number
plants.sampled,number of plants sampled
Genotype,genotype sampled
link.density.plant_gall,Quantitative weighted linkage density of willow-gall interactions
vulnerability.plant_gall,Quantitative weighted vulnerability of willow-gall interactions
generality.plant_gall,Quantitative weighted generality of willow-gall interactions
link.density.gall_ptoid,Quantitative weighted linkage density of gall-parasitoid interactions
vulnerability.gall_ptoid,Quantitative weighted vulnerability of gall-parasitoid interactions
generality.gall_ptoid,Quantitative weighted generality of gall-parasitoid interactions
total_complexity,Quantitative weighted linkage density of willow-gall-parasitoid interactions
