"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"1","1_2_C","1",2,"C",1.40948425582659,1.81896851165317,1,1.37738267530166,1.75476535060332,1,1.39343346556412
"2","1_2_A","1",2,"A",1.2845962916071,1.5691925832142,1,1,1,1,1.14229814580355
"3","1_2_B","1",2,"B",1,1,1,1.37738267530166,1.75476535060332,1,1.18869133765083
"4","1_2_D","1",2,"D",1.70862505198086,2.41725010396172,1,1.4,1.8,1,1.55431252599043
"5","1_2_E","1",2,"E",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"6","1_2_F","1",2,"F",1,1,1,NA,NA,NA,1
"7","1_2_G","1",2,"G",1.5,2,1,NA,NA,NA,1.5
"8","1_2_H","1",2,"H",1.97085671054159,2.94171342108318,1,NA,NA,NA,1.97085671054159
"9","1_2_I","1",2,"I",1.84514855097062,2.69029710194123,1,1.66666666666667,1.66666666666667,1.66666666666667,1.75590760881864
"10","1_2_J","1",2,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"11","1_2_K","1",2,"K",1.46240327484457,1.92480654968914,1,2.29805773331216,3.59611546662432,1,1.88023050407836
"12","1_2_L","1",2,"L",1.22878463249055,1.45756926498109,1,1.5,2,1,1.36439231624527
"13","1_2_M","1",2,"M",1,1,1,NA,NA,NA,1
"14","1_2_N","1",2,"N",1.32469244423306,1.64938488846612,1,1.33333333333333,1.66666666666667,1,1.3290128887832
"15","1_2_O","1",2,"O",1.5,2,1,NA,NA,NA,1.5
"16","1_2_P","1",2,"P",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"17","1_2_Q","1",2,"Q",1.40948425582659,1.81896851165317,1,NA,NA,NA,1.40948425582659
"18","1_2_R","1",2,"R",1.12535918113911,1.25071836227823,1,1.69055078897615,2.3811015779523,1,1.40795498505763
"19","1_2_S","1",2,"S",1.64521762737369,2.29043525474737,1,2.29241118113173,3.08482236226346,1.5,1.96881440425271
"20","1_2_T","1",2,"T",1,1,1,1,1,1,1
"21","1_2_V","1",2,"V",1,1,1,1.44494078742115,1.88988157484231,1,1.22247039371058
"22","1_2_W","1",2,"W",1.30331539804318,1.60663079608635,1,1.65164332695435,1.50317690040222,1.80010975350649,1.47747936249877
"23","1_2_X","1",2,"X",1.48614299004096,1.97228598008191,1,1.82767053744122,2.32200774154911,1.33333333333333,1.65690676374109
"24","1_2_Y","1",2,"Y",1.8649192815518,2.7298385631036,1,NA,NA,NA,1.8649192815518
"25","1_2_Z","1",2,"Z",1,1,1,2.38988157484231,3.77976314968462,1,1.69494078742115
"26","2_2_C","2",2,"C",1.40948425582659,1.81896851165317,1,1.37738267530166,1.75476535060332,1,1.39343346556412
"27","2_2_A","2",2,"A",1,1,1,NA,NA,NA,1
"28","2_2_B","2",2,"B",1.13169062515136,1.26338125030273,1,1.32469244423306,1.64938488846612,1,1.22819153469221
"29","2_2_D","2",2,"D",1.70862505198086,2.41725010396172,1,1.4,1.8,1,1.55431252599043
"30","2_2_E","2",2,"E",1,1,1,NA,NA,NA,1
"31","2_2_F","2",2,"F",1.48006585210389,1.96013170420779,1,NA,NA,NA,1.48006585210389
"32","2_2_G","2",2,"G",1,1,1,NA,NA,NA,1
"33","2_2_H","2",2,"H",1.97085671054159,2.94171342108318,1,NA,NA,NA,1.97085671054159
"34","2_2_I","2",2,"I",1.96067135615908,2.92134271231815,1,1.66260569836385,1.99150580616183,1.33370559056587,1.81163852726146
"35","2_2_J","2",2,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"36","2_2_K","2",2,"K",1.6771901674122,2.35438033482439,1,1.51763746016647,1.74956063461866,1.28571428571429,1.59741381378933
