"","Number.of.Genotypes","Weighted.Linkage.Density"
"1",2,1.85499925233561
"2",3,2.4997181366203
"3",4,2.45972576688128
"4",5,1.83773110784238
"5",6,2.25607097317226
"6",7,1.375
"7",8,2.47910084165536
"8",9,2.3928923229334
"9",10,2.20277623907795
"10",11,2.50493171253337
"11",12,2.38074747822658
"12",13,2.18201832588399
"13",14,2.25984166629937
"14",15,2.34466167459439
"15",16,2.19774815685604
"16",17,2.34463788547084
"17",18,2.17125124582255
"18",19,2.20786379105043
"19",20,2.29421624013805
"20",21,2.31614910797169
"21",22,2.35633218908873
"22",23,2.23046155880991
"23",24,2.22484249866303
"24",25,2.22484249866303
"25",26,2.22484249866303
"26",2,1.30004115756493
"27",3,2.0445453483506
"28",4,2.37531930194605
"29",5,2.27332488056978
"30",6,2.63063838242684
"31",7,1.78707581445809
"32",8,2.67143484154207
"33",9,2.02323311959167
"34",10,2.25415582465452
"35",11,1.82713597454907
"36",12,2.42245678974838
"37",13,2.1403566371492
"38",14,2.17578181026362
"39",15,2.30602400632915
"40",16,2.3891636210587
"41",17,2.38538524451913
"42",18,2.35250421738587
"43",19,2.23046155880991
"44",20,2.14563010522011
"45",21,2.19376031336124
"46",22,2.22484249866303
"47",23,2.22484249866303
"48",24,2.1849329567816
"49",25,2.22484249866303
"50",26,2.22484249866303
"51",2,1
"52",3,1.86489127298214
"53",4,2.25236789790856
"54",5,2.25392462785984
"55",6,2.2441022863107
"56",7,2.37942724771356
"57",8,2.00303852719554
"58",9,2.39222107152207
"59",10,2.31447938725743
"60",11,2.38568346166835
"61",12,2.44008641918638
"62",13,2.2986993190004
"63",14,2.42231399808885
"64",15,2.35866641775723
"65",16,2.36601449867966
"66",17,2.27965392456749
"67",18,2.14563010522011
"68",19,2.12515484049748
"69",20,2.29421624013805
"70",21,2.3282241520737
"71",22,2.29421624013805
"72",23,2.25622715183688
"73",24,2.1849329567816
"74",25,2.23046155880991
"75",26,2.22484249866303
"76",2,2.17316735253027
"77",3,2.15068553406135
"78",4,1.86706717290341
"79",5,2
"80",6,2.06202872452452
"81",7,1.86855399939616
"82",8,2.05391178031678
"83",9,2.21055232132578
"84",10,2.07351516227829
"85",11,2.39762175484282
