"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"1","X",104,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","U",15,12,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.180843949,49.12688828,41.6032011017232,NA,NA,49.005563356,1.0754945874,45.9622379121635,NA,NA,NA,NA,NA,NA
"3","O",167,3,4,0,0,2.32960534162239,3.2098991960917,0.3613,1.8034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.354571532,0.8884563446,54.959938276439,NA,NA,NA,NA,NA,NA
"4","E",181,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","*",185,8,1,1,3,1.89149165083069,2.38190804940424,0.3719,1.7962,0.909090909090909,450.259,45.807,0.203,1.214,0,8.298,2.08,6.255,12.905,0,0.449,32.944,27.688,0,1.276,1.859,2.343,1.842,0,0.293,4.628,0.567,0.286,1.015,1.296,0.276,0.332,2.491,0,0,0,0.963685215,47.61354828,49.407781232796,1.77460317460317,9.11142857142857,48.780740358,0.9150824786,53.3981372541112,2.47023619365422,3.2558294087724,1.27565980187679,2.72424867097971,-0.801656330758369,-1.60184226987832
"6","H",191,0,4,0,0,1.86572907653044,2.70530625351208,0.3206,1.787,0.909090909090909,355.701,59.205,0.252,2.304,0.076,7.081,5.787,0.102,11.924,0,0.701,102.116,0,0.415,2.971,0.477,2.573,0,0.519,0.586,4.516,0.665,0,1.764,0,0.542,0,39.322,0,0,5.174,NA,NA,NA,1.69407894736842,10.2595394736842,49.003610992,1.089426303,45.3411144993612,-0.00404872387435512,-0.597388423843688,1.81163121869574,-1.6485073755069,1.10723253322038,-0.989106292777165
"7","F",192,4,1,0,0,1.21350944191792,1.94727003750043,0.3349,1.7597,0,336.439,75.285,0.283,1.998,0.159,0.438,0.179,0.359,34.801,3.749,0.907,86.104,0.993,5.028,1.141,1.177,2.042,0,11.115,0.52,7.781,0,0,1.178,0,0.777,0.25,44.23,0,0,5.07,NA,NA,NA,1.51107011070111,9.94022140221402,47.827425384,0.8790121316,54.8639562560522,-0.362159806486911,-1.02173525027601,-2.40673089858918,-1.35759333672439,-0.796507757670403,2.19407046774225
"8","Q",194,0,0,0,0,1.11095758852007,2.59521324785835,0.3441,1.7627,12.7272727272727,485.537,49.671,0.195,0.996,0,1.18,0.676,0.251,35.992,0.555,1.505,31.191,0.477,9.561,1.875,0.443,3.19,0,18.794,0,5.639,0.122,0,0.724,0,0.269,0,10.59,0,0,0.412,NA,NA,NA,1.80871670702179,8.96658595641646,49.360918045,1.127515167,43.873397689227,2.25726665973567,-1.19138011374681,-1.93924932057361,0.225147759969613,-1.2573407743411,2.20833329291778
"9","Y",199,7,0,0,0,1.60928171254542,2.12502436954552,0.535,1.8016,20,254.022,61.266,0.286,2.529,0.381,7.321,5.014,1.754,20.31,0,0.954,168.381,93.3,0.834,0.727,0.828,1.602,3.896,2.153,0.175,5.11,0.364,0.376,0.697,0.716,0.283,3.123,54.615,1.952,1.726,10.946,NA,NA,NA,1.93072824156306,9.7259325044405,49.428104402,1.0590504764,46.8915922931631,-2.17004858232549,5.46544297127692,-0.811066750296953,3.02861366993234,-1.00261049070133,-0.550433299942427
"10","V",200,5,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","N",203,2,0,0,0,1.06506919490712,2.45645018864895,0.2865,1.7527,0.909090909090909,137.944,46.694,0.439,5.041,0.282,2.734,0.738,0.086,14.701,1.472,0.235,144.398,0,0.65,0.882,1.337,1.219,0,6.415,0.155,2.093,0.411,0,1.101,0.671,0.272,0,69.144,0,6.248,1.769,0.902327538,48.30923462,53.5384686663525,1.93650793650794,10.44,47.99968338,1.0214545368,48.0055005411854,-2.68414203482251,-1.40476932254376,0.199747685759438,2.64473842250859,1.59186722988137,0.663397476098009
"12","O",204,2,0,0,0,1.91923221848167,3.1055402011491,0.3839,1.8127,0,433.057,48.698,0.166,1.062,0.12,6.074,2.38,0.559,26.794,6.428,0.608,24.462,1.893,2.517,1.301,2.615,2.533,0,4.654,0.226,4.909,1.451,0,1.39,0,0.448,0,4.586,0,0,0,NA,NA,NA,1.98969072164948,10.8855670103093,48.354571532,0.8884563446,54.959938276439,2.5112021742749,-0.259830706041977,0.265169556528078,0.84132649821713,1.00454645911806,1.79850150838042
"13","D",207,3,2,1,0,1.05231876569476,2.25231940733265,0.2941,1.7342,1.81818181818182,190.711,66.95,0.457,5.374,0.476,0.29,0.047,0.227,17.911,1.246,0.457,160.55,0.236,0.947,1.294,0.613,2.09,0,4.044,0.321,4.192,0.784,0,1.867,0,0.394,0.725,108.488,0,4.502,20.387,NA,NA,NA,1.76616915422886,10.2268656716418,49.675281524,0.8330973388,60.3955692129545,-3.78720626752085,-0.882684421967941,-2.1265335039372,-0.089130207872277,1.24414588241508,0.465461393743674
"14","S",219,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","K",223,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","K",227,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
